epigrafe_code,epigrafe_desc,web_supercategory,web_category,web_subcategory,display_label,investable,mapping_rule,source_rows,needs_manual_review
642001,ACTIVIDADES DE LAS SOCIEDADES HOLDING,Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,1522,False
643001,"INVERSION COLECTIVA, FONDOS Y ENTIDADES FINANCIERAS SIMILARES",Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,2083,False
649001,"OTROS SERVICIOS FINANCIEROS(ARRENDAMIENTO FINANCIERO, PRESTAMOS POR ENTIDADES NO FINANCIERAS), EXCEPTO SEGUROS Y FONDOS DE PENSIONES",Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,7367,False
652001,REASEGUROS,Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,1061,False
653001,FONDOS DE PENSIONES,Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,16,False
661001,"ADMINISTRACION DE MERCADOS FINANCIEROS, INTERMEDIACION EN OPERACIONES CON VALORES Y OTROS ACTIVOS",Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,5259,False
663001,ACTIVIDADES DE GESTION DE FONDOS,Finanzas,Finanzas y seguros,Finanzas y seguros,Finanzas y seguros,True,prefix_finance,1264,False
651001,SEGUROS,Finanzas,Finanzas y seguros,Seguros,Seguros,True,exact_code,42727,False
662001,ACTIVIDADES AUXILIARES A SEGUROS Y FONDOS DE PENSIONES,Finanzas,Finanzas y seguros,Servicios auxiliares seguros,Servicios auxiliares seguros,True,exact_code,17228,False
561005,BAR CON COCINA,Hosteleria,Bar y cafeteria,Bar con cocina,Bar con cocina,True,exact_code,572319,False
563002,BAR ESPECIAL SIN ACTUACIONES,Hosteleria,Bar y cafeteria,Bar especial,Bar especial,True,exact_code,123978,False
563003,BAR ESPECIAL CON ACTUACIONES,Hosteleria,Bar y cafeteria,Bar especial con actuaciones,Bar especial con actuaciones,True,exact_code,10607,False
561004,BAR RESTAURANTE,Hosteleria,Bar y cafeteria,Bar restaurante,Bar restaurante,True,exact_code,544326,False
563005,BAR SIN COCINA,Hosteleria,Bar y cafeteria,Bar sin cocina,Bar sin cocina,True,exact_code,215083,False
563001,COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) CON CONSUMO,Hosteleria,Bar y cafeteria,Bodega con consumo,Bodega con consumo,True,exact_code,12582,False
561006,CAFETERIA,Hosteleria,Bar y cafeteria,Cafeteria,Cafeteria,True,exact_code,408293,False
472908,"COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA CON OBRADOR",Hosteleria,Bar y cafeteria,Churreria,Churreria,True,exact_code,18194,False
472902,COMERCIO AL POR MENOR DE HELADOS CON OBRADOR CON BARRA DE DEGUSTACION,Hosteleria,Bar y cafeteria,Heladeria,Heladeria,True,keyword_icecream,7889,False
472903,COMERCIO AL POR MENOR DE HELADOS CON OBRADOR SIN BARRA DE DEGUSTACION,Hosteleria,Bar y cafeteria,Heladeria,Heladeria,True,keyword_icecream,4341,False
47800101,SITUADOS: HELADOS Y/O BEBIDAS REFRESCANTES,Hosteleria,Bar y cafeteria,Heladeria,Heladeria,True,keyword_icecream,3203,False
561007,CHOCOLATERIA/SALON DE TE Y HELADERIA,Hosteleria,Bar y cafeteria,Heladeria y salon de te,Heladeria y salon de te,True,exact_code,12683,False
563004,TABERNA,Hosteleria,Bar y cafeteria,Taberna,Taberna,True,exact_code,22098,False
