zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Clinicas y consultas,31,2,0.06451612903225806,135.0,0.967741935483871,0.967741935483871,False,low,110
district,10.0,Latina,Hosteleria,Bar y cafeteria,Bar sin cocina,93,9,0.0967741935483871,135.0,0.9784946236559139,0.9677419354838709,False,low,111
district,10.0,Latina,Retail especializado,Otros comercios,Otros comercios,55,12,0.21818181818181817,135.0,1.0,0.9636363636363636,False,low,112
district,10.0,Latina,Retail especializado,Hogar y decoracion,Textil hogar,26,6,0.23076923076923078,135.0,0.9615384615384616,0.9615384615384616,False,low,113
district,10.0,Latina,Servicios,Servicios profesionales,Inmobiliaria,51,13,0.2549019607843137,135.0,0.9803921568627451,0.9607843137254901,False,low,114
district,10.0,Latina,Alimentacion,Comida preparada,Comida preparada,23,3,0.13043478260869565,135.0,1.0,0.9565217391304348,False,low,115
district,10.0,Latina,Servicios,Servicios al consumidor,Locutorio,84,21,0.25,135.0,0.9880952380952381,0.9523809523809523,True,medium,116
district,10.0,Latina,Alimentacion,Panaderia y pasteleria,Panaderia,75,10,0.13333333333333333,135.0,0.9600000000000001,0.9466666666666668,False,low,117
district,10.0,Latina,Retail especializado,Hogar y reformas,Material electrico,16,2,0.125,135.0,0.9375,0.9375,False,low,118
district,10.0,Latina,Servicios,Servicios profesionales,Arquitectura e ingenieria,15,2,0.13333333333333333,135.0,1.0,0.9333333333333333,False,low,119
district,10.0,Latina,Belleza y cuidado personal,Peluqueria y estetica,Centro de estetica,30,8,0.26666666666666666,135.0,0.9666666666666667,0.9333333333333333,False,low,120
district,10.0,Latina,Finanzas,Finanzas y seguros,Banco y caja,124,41,0.33064516129032256,135.0,0.9758064516129032,0.9274193548387097,True,medium,121
district,10.0,Latina,Alimentacion,Supermercado y conveniencia,Alimentacion envasada,13,2,0.15384615384615385,135.0,1.0,0.9230769230769231,False,low,122
district,10.0,Latina,Servicios,Servicios profesionales,Servicios profesionales,11,4,0.36363636363636365,135.0,1.0,0.9090909090909091,False,low,123
district,10.0,Latina,Retail especializado,Hogar y decoracion,Hogar y menaje,21,5,0.23809523809523808,135.0,0.9047619047619047,0.9047619047619047,False,low,124
district,10.0,Latina,Retail especializado,Hogar y reformas,Materiales de construccion,10,1,0.1,135.0,1.0,0.9,False,low,125
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Parasanitario,7,1,0.14285714285714285,135.0,1.0,0.8571428571428572,False,low,126
district,10.0,Latina,Retail especializado,Hogar y decoracion,Colchoneria,9,3,0.3333333333333333,135.0,0.8888888888888888,0.7777777777777777,False,low,127
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Heladeria,6,2,0.3333333333333333,135.0,0.6666666666666667,0.6666666666666667,False,low,128
district,10.0,Latina,Deporte y ocio,Ocio y entretenimiento,Salon recreativo,2,1,0.5,77.5,1.0,0.5,False,low,129
district,10.0,Latina,Hosteleria,Ocio nocturno,Cafe espectaculo,1,1,1.0,20.0,1.0,0.0,False,low,130
district,10.0,Latina,Hosteleria,Restauracion,Hosteleria especializada,1,1,1.0,15.0,1.0,0.0,False,low,131
district,11.0,Carabanchel,Alimentacion,Supermercado y conveniencia,Tienda de alimentacion,199,24,0.12060301507537688,135.0,1.0,1.0,True,high,1
district,11.0,Carabanchel,Automocion,Taller y reparacion,Taller mecanica,175,6,0.03428571428571429,135.0,1.0,1.0,False,low,2
district,11.0,Carabanchel,Hosteleria,Bar y cafeteria,Bar restaurante,147,5,0.034013605442176874,135.0,1.0,1.0,False,low,3
district,11.0,Carabanchel,Salud y bienestar,Salud retail,Farmacia,138,6,0.043478260869565216,135.0,1.0,1.0,False,low,4
district,11.0,Carabanchel,Salud y bienestar,Clinicas y consultas,Clinica dental,81,3,0.037037037037037035,135.0,1.0,1.0,False,low,5
district,11.0,Carabanchel,Educacion,Formacion,Educacion y formacion,76,1,0.013157894736842105,135.0,1.0,1.0,False,low,6
